experiment_id,strategy_family,config_hash,source_type,template_id,hypothesis,reason_selected,novelty_score,selection_score,exploration_mode,parent_config_hash,near_duplicate_of,dead_zone_flags,source_proposal_id,objective_score,sharpe,calmar,total_return,max_drawdown,trades_per_year,exposure,status,viable,baseline_name,comparison_status,delta_sharpe,delta_calmar,delta_return,beats_baseline_objective,beats_baseline_guardrails,runtime_seconds,error_message
momentum_1dcba25496e09f06_proposal_20260403_175150,momentum,1dcba25496e09f06,local_refinement,,momentum_champion_s10005,local refinement around top historical configs,0.3,0.821538,local_refinement,d2b14fdee1e31bc9,,[],proposal_20260403_175150,1.5533000000000001,0.803,2.922,15.6,-23.1,31.5,,success,True,momentum_champion_s10005,partial_verified_current_engine,0.097,0.781,2.86,True,True,5.670514,
momentum_eca8f4109c43edb2_proposal_20260403_175150,momentum,eca8f4109c43edb2,broad_exploration,under_tested_region,Explore under-tested parameter regions.,coverage of under-tested regions and dead-zone escape,0.2,0.783187,broader_exploration,,,[],proposal_20260403_175150,0.9876,0.557,1.716,8.66,-21.64,35.1,,success,True,momentum_champion_s10005,partial_verified_current_engine,-0.149,-0.425,-4.08,False,True,6.105863,
momentum_00f8fca9f00d6a30_proposal_20260403_175150,momentum,00f8fca9f00d6a30,cross_family_hybrid,momentum_turtle_breakout,Momentum with breakout-like holding discipline and tighter regime gating.,Borrowed from breakout/turtle concepts to widen the search.,0.45,0.693639,cross_family_hybrid,e59f68426635b89e,,[],proposal_20260403_175150,1.10925,0.542,2.223,14.17,-27.48,13.4,,success,False,momentum_champion_s10005,partial_verified_current_engine,-0.164,0.082,1.43,False,False,6.061492,
momentum_b341ebbf09a3a6f9_proposal_20260403_175150,momentum,b341ebbf09a3a6f9,template_expansion,momentum_quality_slow,Lower-churn quality rotation with longer lookback and tighter selection.,"Explores a slower, more selective momentum regime.",0.3,0.591035,template_expansion,e59f68426635b89e,,[],proposal_20260403_175150,1.06905,0.534,2.239,14.42,-29.46,11.9,,success,False,momentum_champion_s10005,partial_verified_current_engine,-0.172,0.098,1.68,False,False,5.865701,
momentum_1b87098b5d0fc8d1_proposal_20260403_175150,momentum,1b87098b5d0fc8d1,template_expansion,momentum_regime_conservative,More conservative regime gate with slower exits to reduce drawdown spikes.,Tests whether regime gating and slower exits stabilize the equity curve.,0.3,0.744717,template_expansion,e59f68426635b89e,,[],proposal_20260403_175150,0.88505,0.468,1.827,7.94,-25.79,23.8,,success,False,momentum_champion_s10005,partial_verified_current_engine,-0.238,-0.314,-4.8,False,False,6.065092,
momentum_1a75b17fda512dce_proposal_20260403_175150,momentum,1a75b17fda512dce,broad_exploration,under_tested_region,Explore under-tested parameter regions.,coverage of under-tested regions and dead-zone escape,0.2,0.465187,broader_exploration,,,[],proposal_20260403_175150,0.44944999999999996,0.185,1.315,3.36,-24.98,51.1,,success,False,momentum_champion_s10005,partial_verified_current_engine,-0.521,-0.826,-9.38,False,False,4.855442,
